"UNIQUE_CARRIER","UNIQUE_CARRIER_NAME","YEAR","MONTH","DEPARTURES_SCHEDULED","DEPARTURES_PERFORMED","SEATS","PASSENGERS","MONTHNAME","DATE","MONTHLY_NET_INCOME","MONTHLY_OP_PROFIT_LOSS","MONTHLY_OP_REVENUES","MONTHLY_OP_EXPENSES","SEAT_UTILIZATION"
"AC","Air Canada",2017,2,0,32,2068,1490,"Feb",2017-02-01,NA,NA,NA,NA,72.05
"AJQ","Aerodynamics Inc. d/b/a SkyValue d/b/a SkyValue Airways",2017,2,6,31,1550,1035,"Feb",2017-02-01,NA,NA,NA,NA,66.77
"AJQ","Aerodynamics Inc. d/b/a SkyValue d/b/a SkyValue Airways",2017,1,106,220,11000,4977,"Jan",2017-01-01,NA,NA,NA,NA,45.25
"AJQ","Aerodynamics Inc. d/b/a SkyValue d/b/a SkyValue Airways",2017,3,0,433,21650,11275,"Mar",2017-03-01,NA,NA,NA,NA,52.08
"AJQ","Aerodynamics Inc. d/b/a SkyValue d/b/a SkyValue Airways",2017,4,201,207,10450,5228,"Apr",2017-04-01,NA,NA,NA,NA,50.03
"AJQ","Aerodynamics Inc. d/b/a SkyValue d/b/a SkyValue Airways",2017,5,0,236,11800,6137,"May",2017-05-01,NA,NA,NA,NA,52.01
"AJQ","Aerodynamics Inc. d/b/a SkyValue d/b/a SkyValue Airways",2017,6,206,246,12300,7076,"Jun",2017-06-01,NA,NA,NA,NA,57.53
"AJQ","Aerodynamics Inc. d/b/a SkyValue d/b/a SkyValue Airways",2017,7,209,231,11550,7215,"Jul",2017-07-01,NA,NA,NA,NA,62.47
"AJQ","Aerodynamics Inc. d/b/a SkyValue d/b/a SkyValue Airways",2017,8,198,218,10900,5947,"Aug",2017-08-01,NA,NA,NA,NA,54.56
"AJQ","Aerodynamics Inc. d/b/a SkyValue d/b/a SkyValue Airways",2017,9,200,236,11800,6755,"Sep",2017-09-01,NA,NA,NA,NA,57.25
"AJQ","Aerodynamics Inc. d/b/a SkyValue d/b/a SkyValue Airways",2017,10,216,254,12700,7577,"Oct",2017-10-01,NA,NA,NA,NA,59.66
"AJQ","Aerodynamics Inc. d/b/a SkyValue d/b/a SkyValue Airways",2017,11,206,241,12050,7645,"Nov",2017-11-01,NA,NA,NA,NA,63.44
"AJQ","Aerodynamics Inc. d/b/a SkyValue d/b/a SkyValue Airways",2017,12,203,220,11000,6955,"Dec",2017-12-01,NA,NA,NA,NA,63.23
"AS","Alaska Airlines Inc.",2017,5,16108,16371,2587807,2178163,"May",2017-05-01,89520,107564.666666667,523987.666666667,416423.083333333,84.17
"AS","Alaska Airlines Inc.",2017,4,15261,15529,2447587,2066196,"Apr",2017-04-01,89520,107564.666666667,523987.666666667,416423.083333333,84.42
"AS","Alaska Airlines Inc.",2017,3,15422,15695,2488706,2091754,"Mar",2017-03-01,89520,107564.666666667,523987.666666667,416423.083333333,84.05
"AS","Alaska Airlines Inc.",2017,1,14712,14709,2338951,1769094,"Jan",2017-01-01,89520,107564.666666667,523987.666666667,416423.083333333,75.64
"AS","Alaska Airlines Inc.",2017,12,15383,15829,2532597,2050653,"Dec",2017-12-01,89520,107564.666666667,523987.666666667,416423.083333333,80.97
