Year - Month,Carrier,Departures,Miles,Seats,Passengers,Seat Utilization,Payload (lbs),Freight (lbs),Mail (lbs)
2018-10,Scott Air LLC dba Island Air Express (Domestic),504,"48,581","4,533","2,035",45%,"1,306,998","18,246","59,352"
2018-10,Seaborne Aviation (Domestic),708,"40,116","15,982","10,541",66%,"9,780,000",0,0
2018-10,Silver Airways (Domestic),"1,673","397,776","55,218","38,440",70%,"10,615,185",0,0
2018-10,Sky Lease Cargo (International),34,"77,860",0,0,-,"8,650,500","4,395,492",0
2018-10,SkyWest Airlines Inc. (Domestic),"66,866","31,934,755","4,208,166","3,329,757",79%,"982,421,945",0,0
2018-10,Smokey Bay Air Inc. (Domestic),995,"16,279","4,975","2,074",42%,"1,293,500","77,664","18,337"
2018-10,Southern Air Inc. (Domestic),314,"298,827",0,0,-,"39,608,350","12,842,591",0
2018-10,Southwest Airlines Co. (Domestic),"114,242","84,583,393","17,226,238","14,089,798",82%,"4,197,422,000","25,611,012",0
2018-10,Southwest Airlines Co. (Latin America),2,"1,495",318,180,57%,"78,000",0,0
2018-10,Spirit Air Lines (Domestic),"13,808","13,835,664","2,533,037","2,184,697",86%,"557,268,140",0,0
2018-10,Star Marianas Air Inc. (Domestic),"2,230","63,316","13,399","7,316",55%,"3,136,000","202,870",0
2018-10,Sun Air Express LLC dba Sun Air International (Domestic,"2,675","385,024","23,446","9,575",41%,"10,165,000",0,0
2018-10,Sun Country Airlines d/b/a MN Airlines (Domestic),"1,840","2,168,735","294,408","245,477",83%,"75,312,685","168,225","597,948"
2018-10,Tanana Air Service (Domestic),478,"18,562","3,339",733,22%,"659,250","19,730","137,770"
2018-10,Tatonduk Outfitters Limited d/b/a Everts Air Alaska and,518,"164,447","1,530",485,32%,"10,764,053","1,626,405","2,383,648"
2018-10,Tradewind Aviation (Domestic),421,"92,981","3,368","1,606",48%,"1,485,750",0,0
2018-10,Trans Northern Airways d/b/a Air Unlimited Charter Serv,4,"1,010",36,0,0%,"8,400",0,0
2018-09,40-Mile Air (Domestic),58,"4,464",232,85,37%,"63,800","11,406","1,118"
2018-09,ABX Air Inc (Atlantic),56,"96,619",0,0,-,"10,562,310","2,575,717",0
2018-09,ABX Air Inc (Domestic),784,"803,068",0,0,-,"150,852,960","44,736,679",0
2018-09,Aerodynamics Inc. d/b/a SkyValue d/b/a SkyValue Airways,220,"65,212","11,000","5,688",52%,"2,498,514",0,0
2018-09,"Air Charter, Inc d/b/a Air Flamenco (Domestic)",272,"11,846",936,470,50%,"570,000","90,865","67,882"
2018-09,Air Excursions LLC (Domestic),212,"8,692","1,808",775,43%,"568,414","31,378","19,116"
2018-09,Air Sunshine Inc. (Domestic),60,"4,080",540,104,19%,"40,000",0,0
2018-09,Air Transport International (Domestic),"1,058","1,441,778",0,0,-,"180,497,630","48,235,716",0
2018-09,Air Wisconsin Airlines Corp (Domestic),"7,805","3,011,104","390,250","298,433",76%,"95,533,200",0,0
2018-09,Alaska Airlines Inc. (Domestic),"21,637","27,823,600","3,390,960","2,684,464",79%,"894,746,000","14,306,508","4,734,494"
2018-09,Alaska Central Express (Domestic),"1,099","344,216","1,520",729,48%,"6,091,672","1,083,968","1,384,139"
2018-09,Allegiant Air (Domestic),"5,822","4,981,665","989,922","805,771",81%,"197,984,400",0,0
2018-09,Aloha Air Cargo (Domestic),602,"89,582",0,0,-,"21,070,000","4,660,336","1,853,695"
2018-09,American Airlines Inc. (Domestic),"74,015","74,758,461","11,707,801","9,042,830",77%,"3,164,708,460","19,047,372","14,222,050"
2018-09,Amerijet International (Domestic),92,"98,961",0,0,-,"10,235,000","5,937,573",0
2018-09,Amerijet International (Latin America),4,"4,906",0,0,-,"460,000","31,212",0
2018-09,Ameristar Air Cargo (Domestic),74,"59,759",0,0,-,"1,572,495","216,585",0
2018-09,Ameristar Air Cargo (International),6,"7,134",0,0,-,"127,096","10,827",0
2018-09,Arctic Transportation (Domestic),"1,484","125,790","3,202",349,11%,"5,328,900","877,397","941,694"
2018-09,Asia Pacific (International),25,"85,409",0,0,-,"1,450,000","187,723","458,493"
2018-09,Atlas Air Inc. (Domestic),"1,828","2,286,612","26,341","1,289",5%,"414,015,363","143,278,254",0
2018-09,Atlas Air Inc. (International),341,"567,325",0,0,-,"72,834,955","15,994,880",0
2018-09,Avjet Corporation (Domestic),69,"63,038",620,136,22%,"181,200",0,0
2018-09,Bemidji Airlines (Domestic),51,"7,761",13,0,0%,"136,000","47,746",0
2018-09,Bering Air Inc. (Domestic),"3,023","268,296","27,255","11,709",43%,"10,195,600","256,974","695,101"
2018-09,Boutique Air (Domestic),"2,677","614,332","21,416","14,381",67%,"4,338,400",0,0
2018-09,Cape Air (Domestic),"9,186","952,201","81,072","45,225",56%,"16,570,800",0,"89,162"
2018-09,"Caribbean Sun Airlines, Inc. d/b/a World Atlantic Airli",109,"78,427","16,895",229,1%,"3,815,000",0,0
2018-09,CFM Inc d/b/a Contour Airlines (Domestic),770,"265,848","15,923","9,012",57%,"3,184,600",0,0
2018-09,City Wings Inc dba Seaflight (Domestic),280,"12,600","2,520","1,859",74%,"694,400",0,0
2018-09,"Commutair Aka Champlain Enterprises, Inc. (Domestic)","4,346","1,479,535","217,300","170,833",79%,"55,520,150",0,0
2018-09,Compass Airlines (Domestic),"7,908","4,400,100","600,802","464,665",77%,"157,258,488",0,0
2018-09,Delta Air Lines Inc. (Domestic),"78,573","68,276,734","12,440,496","10,080,750",81%,"3,181,427,475","19,239,337","14,894,195"
2018-09,"Dynamic Airways, LLC (Domestic)",8,"4,028","1,921",103,5%,"437,600",0,0
2018-09,Elite Airways LLC (Domestic),76,"78,988","3,800","1,624",43%,"1,125,200",0,0
2018-09,Ellis Air Taxi Inc. (Domestic),32,"3,264",108,44,41%,"50,400",340,"2,690"
2018-09,Empire Airlines Inc. (Domestic),"2,477","301,470","32,208","16,037",50%,"19,076,774","4,978,303",0
2018-09,Endeavor Air Inc. (Domestic),"19,580","9,559,823","1,342,727","1,019,198",76%,"370,697,388",409,0
2018-09,Envoy Air (Domestic),"24,045","10,211,387","1,348,432","1,002,862",74%,"335,156,770","54,758",961
2018-09,Era Aviation (Domestic),"1,871","375,371","60,851","35,055",58%,"14,481,540","1,087,321","126,226"
