"Year...Month","Carrier","Departures","Miles","Seats","Passengers","Seat.Utilization"
"2014-02","Cathay Pacific Airways Ltd. (International)","868","5,032,554","162,746","132,732","82%"
"2014-02","Cayman Airways Limited (International)","209","154,793","25,216","14,745","58%"
"2014-02","Chartright Air Inc. (International)","72","66,079","583","319","55%"
"2014-02","Chautauqua Airlines Inc. (Domestic)","9,320","3,162,154","451,210","341,389","76%"
"2014-02","China Airlines Ltd. (International)","673","3,188,864","102,088","82,517","81%"
"2014-02","China Eastern Airlines (International)","230","1,387,476","65,484","53,886","82%"
"2014-02","China Southern Airlines (International)","86","599,486","27,440","23,794","87%"
"2014-02","City Wings Inc dba Seaflight (Domestic)","214","9,630","1,926","1,242","64%"
"2014-02","Comlux Malta, Ltd. (International)","2","7,976","28","6","21%"
"2014-02","Commutair Aka Champlain Enterprises, Inc. (Domestic)","3,003","588,659","120,874","83,764","69%"
"2014-02","Compagnia Aerea Italiana (International)","194","861,748","48,838","35,805","73%"
"2014-02","Compagnie Natl Air France (International)","823","3,347,816","229,142","183,580","80%"
"2014-02","Compania Panamena (Copa) (International)","1,324","2,452,160","192,336","150,581","78%"
"2014-02","Compass Airlines (Domestic)","4,685","3,449,731","352,130","277,565","79%"
"2014-02","Concesionaria Vuela Compania De Aviacion SA de CV (Vola","851","1,234,298","137,736","106,126","77%"
"2014-02","Condor Flugdienst (International)","24","125,944","6,376","5,435","85%"
"2014-02","DCA (International)","6","13,350","96","12","13%"
"2014-02","Delta Air Lines Inc. (Atlantic)","2,466","10,751,479","597,933","425,297","71%"
"2014-02","Delta Air Lines Inc. (Domestic)","52,034","46,071,655","8,289,786","6,871,394","83%"
"2014-02","Delta Air Lines Inc. (Latin America)","5,072","8,872,558","805,886","660,392","82%"
"2014-01","40-Mile Air (Domestic)","65","6,424","260","52","20%"
"2014-01","ABC Aerolineas SA de CV dba Interjet (International)","496","591,170","74,400","54,732","74%"
"2014-01","ACM AIR CHARTER GmbH (International)","10","19,918","104","16","15%"
"2014-01","Acropolis Aviation Ltd. (International)","3","8,824","57","9","16%"
"2014-01","Aer Lingus Plc (International)","264","874,848","81,728","58,766","72%"
"2014-01","Aeroenlaces Nacionales, S.A. de C.V. d/b/a VivaAerobus","36","14,796","5,328","3,595","67%"
"2014-01","Aeroflot Russian Airlines (International)","222","1,142,710","60,652","50,257","83%"
"2014-01","Aerolineas Argentinas (International)","186","873,828","50,200","39,802","79%"
"2014-01","Aerolitoral (International)","735","507,605","62,867","53,351","85%"
"2014-01","Aeromexico (International)","2,155","3,347,561","309,103","250,433","81%"
"2014-01","Aerovias de Intergracian Regional (International)","60","89,941","14,246","11,499","81%"
"2014-01","Aerovias Nacl De Colombia (International)","833","1,399,037","127,850","110,977","87%"
"2014-01","Air Alsie A/S (International)","2","6,895","10","2","20%"
"2014-01","Air Berlin PLC and CO (International)","246","1,090,534","72,530","52,286","72%"
"2014-01","Air Canada (International)","4,096","5,747,200","539,904","428,410","79%"
"2014-01","Air Canada rouge LP (International)","433","538,322","70,270","60,294","86%"
"2014-01","Air Charter, Inc d/b/a Air Flamenco (Domestic)","1,231","42,032","8,964","5,162","58%"
"2014-01","Air China (International)","385","2,311,031","99,044","87,626","88%"
"2014-01","Air Europa (International)","14","46,171","4,186","3,605","86%"
"2014-01","Air Excursions LLC (Domestic)","63","5,758","478","187","39%"
"2014-01","Air Georgian (International)","704","176,401","12,636","6,012","48%"
"2014-01","Air Japan Co (International)","62","236,778","13,268","11,757","89%"
"2014-01","Air New Zealand (International)","318","1,921,656","102,952","89,347","87%"
"2014-01","Air Pacific Ltd. (International)","98","450,826","22,690","18,661","82%"
"2014-01","Air Sunshine Inc. (Domestic)","144","9,730","1,296","441","34%"
"2014-01","Air Tahiti Nui (International)","114","510,930","33,516","27,683","83%"
"2014-01","AirTran Airways Corporation (Domestic)","8,848","6,056,646","1,057,636","778,838","74%"
"2014-01","AirTran Airways Corporation (Latin America)","1,388","1,833,681","190,156","142,698","75%"
"2014-01","Air Transat (International)","8","9,968","1,992","1,475","74%"
"2014-01","Air Wisconsin Airlines Corp (Domestic)","11,992","4,126,450","599,600","434,385","72%"
"2014-01","Alaska Airlines Inc. (Domestic)","12,625","14,991,921","1,845,857","1,438,493","78%"
"2014-01","Alaska Airlines Inc. (Latin America)","1,034","1,384,615","167,800","145,171","87%"
"2014-01","Alaska Central Express (Domestic)","891","274,303","1,064","499","47%"
"2014-01","Albinati Aeronautics SA (International)","10","30,862","120","42","35%"
"2014-01","Alia-(The) Royal Jordanian (International)","102","612,396","25,236","16,764","66%"
"2014-01","Allegiant Air (Domestic)","4,160","4,068,140","701,734","598,351","85%"
"2014-01","All Nippon Airways Co. (International)","681","3,877,534","154,266","126,181","82%"
"2014-01","American Airlines Inc. (Atlantic)","1,694","7,084,735","392,707","298,593","76%"
"2014-01","American Airlines Inc. (Domestic)","44,902","48,160,212","6,746,192","5,342,710","79%"
"2014-01","American Airlines Inc. (Latin America)","10,492","17,333,489","1,792,058","1,401,871","78%"
"2014-01","American Airlines Inc. (Pacific)","456","2,936,955","111,717","95,729","86%"
"2014-01","Ameristar Air Cargo (Domestic)","91","60,971","7,600","1,515","20%"
"2014-01","Arctic Transportation (Domestic)","944","73,754","515","76","15%"
"2014-01","Arik Air International (International)","26","136,500","6,162","4,008","65%"
"2014-01","Asiana Airlines Inc. (International)","811","3,463,557","137,109","117,633","86%"
"2014-01","Atlas Air Inc. (Domestic)","479","672,782","12,575","4,687","37%"
"2014-01","Atlas Air Inc. (International)","472","1,761,938","13,301","3,153","24%"
"2014-01","Austrian Airlines (International)","144","639,810","30,528","24,772","81%"
"2014-01","Avior Airlines, C.A. (International)","68","101,048","9,792","7,816","80%"
"2014-01","Avjet Corporation (Domestic)","181","180,048","1,821","479","26%"
"2014-01","Bahamasair Holding Limited (International)","609","114,930","52,990","33,427","63%"
"2014-01","Bering Air Inc. (Domestic)","2,199","197,233","19,776","8,185","41%"
"2014-01","Boutique Air (Domestic)","27","6,318","216","137","63%"
"2014-01","British Airways Plc (International)","2,476","10,225,996","651,909","498,555","76%"
"2014-01","Brussels Airlines N.V. (International)","96","360,132","26,236","15,018","57%"
"2014-01","Canjet Airlines (International)","124","158,026","23,436","19,315","82%"
"2014-01","Cape Air (Domestic)","9,476","972,360","96,449","53,357","55%"
"2014-01","Caribbean Airlines Limited (International)","683","1,086,334","107,661","82,012","76%"
"2014-01","Caribbean Sun Airlines, Inc. d/b/a World Atlantic Airli","442","163,103","68,510","35,620","52%"
"2014-01","CAT Aviation (International)","4","18,969","52","21","40%"
"2014-01","Cathay Pacific Airways Ltd. (International)","1,184","6,421,879","181,067","157,735","87%"
"2014-01","Cayman Airways Limited (International)","222","159,342","26,810","16,106","60%"
"2014-01","Chartright Air Inc. (International)","36","35,354","275","131","48%"
"2014-01","Chautauqua Airlines Inc. (Atlantic)","5","2,105","250","144","58%"
"2014-01","Chautauqua Airlines Inc. (Domestic)","9,274","3,157,109","449,458","322,417","72%"
"2014-01","China Airlines Ltd. (International)","865","4,031,704","118,779","94,021","79%"
"2014-01","China Eastern Airlines (International)","250","1,507,626","71,312","60,290","85%"
"2014-01","China Southern Airlines (International)","104","720,692","30,380","28,004","92%"
"2014-01","City Wings Inc dba Seaflight (Domestic)","194","8,730","1,746","1,189","68%"
"2014-01","Commutair Aka Champlain Enterprises, Inc. (Domestic)","3,004","591,686","120,742","81,070","67%"
"2014-01","Compagnia Aerea Italiana (International)","246","1,082,808","62,416","48,310","77%"
"2014-01","Compagnie Natl Air France (International)","924","3,731,470","262,859","225,615","86%"
"2014-01","Compania Panamena (Copa) (International)","1,530","2,787,320","222,758","176,699","79%"
"2014-01","Compass Airlines (Domestic)","5,408","4,040,763","405,363","302,061","75%"
"2014-01","Concesionaria Vuela Compania De Aviacion SA de CV (Vola","1,144","1,671,083","182,286","147,144","81%"
"2014-01","Condor Flugdienst (International)","26","137,112","7,012","5,623","80%"
"2014-01","DCA (International)","7","28,479","112","33","29%"
"2014-01","Delta Air Lines Inc. (Atlantic)","2,850","12,409,514","692,593","538,790","78%"
"2014-01","Delta Air Lines Inc. (Domestic)","56,738","50,902,636","9,029,785","7,166,788","79%"
"2013-12","40-Mile Air (Domestic)","56","5,604","224","32","14%"
"2013-12","ABC Aerolineas SA de CV dba Interjet (International)","596","707,287","89,400","66,662","75%"
"2013-12","ACM AIR CHARTER GmbH (International)","12","26,484","148","16","11%"
"2013-12","Aer Lingus Plc (International)","339","1,102,131","103,174","84,511","82%"
"2013-12","Aeroenlaces Nacionales, S.A. de C.V. d/b/a VivaAerobus","30","12,330","4,440","3,698","83%"
"2013-12","Aeroflot Russian Airlines (International)","214","1,100,454","58,480","47,078","81%"
"2013-12","Aerolineas Argentinas (International)","149","685,402","40,743","32,218","79%"
"2013-12","Aerolitoral (International)","735","507,605","62,867","53,351","85%"
"2013-12","Aeromexico (International)","2,272","3,534,717","326,405","263,709","81%"
"2013-12","Aerovias de Intergracian Regional (International)","62","93,372","14,756","12,420","84%"
"2013-12","Aerovias Nacl De Colombia (International)","863","1,455,710","134,874","120,742","90%"
"2013-12","Air Alsie A/S (International)","2","4,772","10","1","10%"
"2013-12","Air Berlin PLC and CO (International)","266","1,173,578","78,434","63,830","81%"
"2013-12","Air Canada (International)","4,029","5,527,700","524,582","421,597","80%"
"2013-12","Air China (International)","408","2,360,818","97,680","82,153","84%"
"2013-12","Air Europa (International)","44","144,667","13,156","9,172","70%"
"2013-12","Air Excursions LLC (Domestic)","53","4,289","403","102","25%"
"2013-12","Air Georgian (International)","661","157,949","11,898","6,018","51%"
"2013-12","Air Japan Co (International)","62","236,778","13,268","10,545","79%"
"2013-12","Air New Zealand (International)","302","1,822,388","95,646","85,288","89%"
"2013-12","Air Pacific Ltd. (International)","84","383,080","19,556","16,424","84%"
"2013-12","Air Sunshine Inc. (Domestic)","144","9,730","1,296","504","39%"
"2013-12","Air Tahiti Nui (International)","125","574,875","36,750","27,428","75%"
"2013-12","AirTran Airways Corporation (Domestic)","11,626","8,018,031","1,387,802","1,116,717","80%"
"2013-12","AirTran Airways Corporation (Latin America)","1,322","1,684,683","181,114","147,460","81%"
"2013-12","Air Transat (International)","24","32,386","5,976","4,863","81%"
"2013-12","Air Wisconsin Airlines Corp (Domestic)","12,756","4,371,178","637,800","496,415","78%"
"2013-12","Alaska Airlines Inc. (Domestic)","12,896","15,314,104","1,872,299","1,579,807","84%"
"2013-12","Alaska Airlines Inc. (Latin America)","1,004","1,354,105","164,446","144,646","88%"
"2013-12","Alaska Central Express (Domestic)","869","258,548","931","394","42%"
"2013-12","Albinati Aeronautics SA (International)","2","7,356","24","2","8%"
"2013-12","Alia-(The) Royal Jordanian (International)","94","564,862","23,778","18,027","76%"
"2013-12","Allegiant Air (Domestic)","4,702","4,526,516","790,631","667,674","84%"
"2013-12","All Nippon Airways Co. (International)","682","3,882,688","153,988","115,060","75%"
"2013-12","American Airlines Inc. (Atlantic)","1,833","7,625,139","417,806","347,707","83%"
"2013-12","American Airlines Inc. (Domestic)","43,751","47,741,755","6,599,447","5,500,706","83%"
"2013-12","American Airlines Inc. (Latin America)","10,394","16,976,261","1,774,489","1,420,707","80%"
"2013-12","American Airlines Inc. (Pacific)","447","2,877,175","109,491","94,659","86%"
"2013-12","Ameristar Air Cargo (Domestic)","94","83,583","5,168","2,282","44%"
"2013-12","Arctic Transportation (Domestic)","947","66,144","641","103","16%"
"2013-12","Arik Air International (International)","26","136,500","6,162","4,694","76%"
"2013-12","Asiana Airlines Inc. (International)","813","3,527,881","133,035","108,450","82%"
"2013-12","Atlas Air Inc. (Domestic)","633","808,211","17,592","4,920","28%"
"2013-12","Atlas Air Inc. (International)","514","1,941,966","13,670","4,240","31%"
"2013-12","Austrian Airlines (International)","150","667,150","36,408","31,973","88%"
"2013-12","Avior Airlines, C.A. (International)","72","106,992","10,368","9,091","88%"
"2013-12","Avjet Corporation (Domestic)","172","165,555","1,759","562","32%"
"2013-12","Bahamasair Holding Limited (International)","754","145,154","66,680","53,640","80%"
"2013-12","Bering Air Inc. (Domestic)","2,191","200,797","19,265","8,003","42%"
"2013-12","British Airways Plc (International)","2,411","9,952,143","639,661","531,828","83%"
"2013-12","Brussels Airlines N.V. (International)","97","364,024","26,802","19,000","71%"
"2013-12","Canjet Airlines (International)","92","114,348","17,388","14,507","83%"
"2013-12","Cape Air (Domestic)","9,515","939,663","96,605","57,086","59%"
"2013-12","Caribbean Airlines Limited (International)","666","1,071,267","105,043","91,977","88%"
"2013-12","Caribbean Sun Airlines, Inc. d/b/a World Atlantic Airli","420","159,552","65,100","30,585","47%"
"2013-12","CAT Aviation (International)","11","48,284","143","41","29%"
"2013-12","Cathay Pacific Airways Ltd. (International)","1,205","6,488,068","180,792","156,264","86%"
"2013-12","Cayman Airways Limited (International)","235","166,265","28,428","20,903","74%"
"2013-12","Chartright Air Inc. (International)","55","40,478","437","203","46%"
"2013-12","Chautauqua Airlines Inc. (Atlantic)","61","26,766","3,050","1,961","64%"
"2013-12","Chautauqua Airlines Inc. (Domestic)","10,885","3,586,726","524,864","403,498","77%"
"2013-12","China Airlines Ltd. (International)","893","4,161,327","113,890","82,363","72%"
"2013-12","China Eastern Airlines (International)","234","1,428,810","67,028","56,658","85%"
"2013-12","China Southern Airlines (International)","110","759,602","30,380","26,576","87%"
"2013-12","City Wings Inc dba Seaflight (Domestic)","220","9,900","1,980","1,443","73%"
"2013-12","Commutair Aka Champlain Enterprises, Inc. (Domestic)","3,816","724,654","151,436","113,466","75%"
"2013-12","Compagnia Aerea Italiana (International)","286","1,248,670","71,376","57,575","81%"
"2013-12","Compagnie Natl Air France (International)","1,024","4,107,386","294,098","256,916","87%"
"2013-12","Compania Panamena (Copa) (International)","1,475","2,692,761","216,000","175,086","81%"
"2013-12","Compass Airlines (Domestic)","5,352","3,948,067","400,946","321,113","80%"
"2013-12","Concesionaria Vuela Compania De Aviacion SA de CV (Vola","1,296","1,898,704","202,530","155,644","77%"
"2013-12","Condor Flugdienst (International)","26","128,272","7,004","5,896","84%"
"2013-12","DCA (International)","2","9,312","36","8","22%"
"2013-12","Delta Air Lines Inc. (Atlantic)","3,027","13,161,395","731,863","625,149","85%"
"2013-12","Delta Air Lines Inc. (Domestic)","61,289","54,724,892","9,732,893","8,153,173","84%"
"2013-12","Delta Air Lines Inc. (Latin America)","5,045","8,888,511","806,308","678,950","84%"
"2013-11","40-Mile Air (Domestic)","81","9,218","324","75","23%"
"2013-11","ABC Aerolineas SA de CV dba Interjet (International)","484","580,852","72,600","44,079","61%"
"2013-11","ACM AIR CHARTER GmbH (International)","5","15,047","50","13","26%"
"2013-11","Acropolis Aviation Ltd. (International)","3","10,562","57","41","72%"
"2013-11","Aer Lingus Plc (International)","338","1,104,020","101,646","81,143","80%"
"2013-11","Aeroenlaces Nacionales, S.A. de C.V. d/b/a VivaAerobus","26","10,686","3,848","3,175","83%"
"2013-11","Aeroflot Russian Airlines (International)","214","1,102,176","58,526","44,588","76%"
"2013-11","Aerolineas Argentinas (International)","101","445,006","28,280","21,302","75%"
"2013-11","Aerolitoral (International)","680","460,400","57,520","42,423","74%"
"2013-11","Aeromexico (International)","1,848","2,864,891","268,468","195,042","73%"
"2013-11","Aerovias de Intergracian Regional (International)","60","90,360","14,280","9,912","69%"
"2013-11","Aerovias Nacl De Colombia (International)","760","1,296,242","114,336","96,853","85%"
"2013-11","Air Alsie A/S (International)","5","16,680","52","10","19%"
"2013-11","Air Berlin PLC and CO (International)","260","1,150,542","76,796","57,161","74%"
"2013-11","Air Canada (International)","3,555","4,584,432","446,727","352,608","79%"
"2013-11","Air China (International)","416","2,353,730","89,848","72,884","81%"
"2013-11","Air Europa (International)","28","100,492","8,372","4,763","57%"
"2013-11","Air Excursions LLC (Domestic)","68","6,069","561","197","35%"
"2013-11","Air Georgian (International)","709","174,287","12,744","5,861","46%"
"2013-11","Air Japan Co (International)","60","229,140","12,840","11,028","86%"
"2013-11","Air New Zealand (International)","276","1,663,256","88,452","72,537","82%"
"2013-11","Air Pacific Ltd. (International)","68","293,664","16,862","12,658","75%"
"2013-11","Air Sunshine Inc. (Domestic)","200","16,900","1,800","821","46%"
"2013-11","Air Tahiti Nui (International)","95","431,550","27,930","23,105","83%"
"2013-11","AirTran Airways Corporation (Domestic)","11,662","8,055,542","1,392,534","1,078,470","77%"
"2013-11","AirTran Airways Corporation (Latin America)","1,182","1,487,860","161,934","120,116","74%"
"2013-11","Air Transat (International)","31","42,285","7,719","6,332","82%"
"2013-11","Air Wisconsin Airlines Corp (Domestic)","12,850","4,383,541","642,500","468,014","73%"
"2013-11","Alaska Airlines Inc. (Domestic)","12,642","14,934,913","1,842,055","1,436,211","78%"
"2013-11","Alaska Airlines Inc. (Latin America)","1,015","1,350,775","161,923","139,366","86%"
"2013-11","Alaska Central Express (Domestic)","878","268,753","741","243","33%"
"2013-11","Albinati Aeronautics SA (International)","4","16,766","44","4","9%"
"2013-11","Alia-(The) Royal Jordanian (International)","72","433,374","17,964","12,302","68%"
"2013-11","Allegiant Air (Domestic)","3,935","3,750,797","658,603","557,886","85%"
"2013-11","All Nippon Airways Co. (International)","660","3,757,440","147,618","110,431","75%"
"2013-11","American Airlines Inc. (Atlantic)","1,776","7,364,636","404,147","306,717","76%"
"2013-11","American Airlines Inc. (Domestic)","43,504","46,442,495","6,505,118","5,148,422","79%"
"2013-11","American Airlines Inc. (Latin America)","8,643","13,990,676","1,474,811","1,157,488","78%"
"2013-11","American Airlines Inc. (Pacific)","501","3,245,448","122,762","92,310","75%"
"2013-11","Ameristar Air Cargo (Domestic)","87","64,983","5,624","1,857","33%"
"2013-11","Ameristar Air Cargo (International)","13","6,919","304","179","59%"
"2013-11","Arctic Transportation (Domestic)","1,140","82,866","755","201","27%"
"2013-11","Arik Air International (International)","26","136,500","6,162","3,816","62%"
"2013-11","Asiana Airlines Inc. (International)","947","3,725,383","125,495","99,505","79%"
"2013-11","Atlas Air Inc. (International)","537","2,117,788","12,526","2,996","24%"
"2013-11","Austrian Airlines (International)","152","675,128","37,984","31,047","82%"
"2013-11","Avjet Corporation (Domestic)","135","146,621","1,460","414","28%"
"2013-11","Bahamasair Holding Limited (International)","671","128,368","61,060","37,692","62%"
"2013-11","Bering Air Inc. (Domestic)","1,995","178,353","17,761","6,634","37%"
"2013-11","Britannia Airways Ltd. (International)","24","102,334","6,489","5,710","88%"
"2013-11","British Airways Plc (International)","2,399","9,874,820","631,046","499,963","79%"
"2013-11","Brussels Airlines N.V. (International)","80","298,760","22,262","11,729","53%"
"2013-11","Canjet Airlines (International)","70","88,646","13,230","10,613","80%"
"2013-11","Cape Air (Domestic)","8,874","831,854","90,323","51,957","58%"
"2013-11","Caribbean Airlines Limited (International)","573","905,598","89,649","70,990","79%"
"2013-11","Caribbean Sun Airlines, Inc. d/b/a World Atlantic Airli","322","180,198","49,910","22,977","46%"
"2013-11","CAT Aviation (International)","5","23,244","67","9","13%"
"2013-11","Cathay Pacific Airways Ltd. (International)","1,331","6,897,120","175,318","149,259","85%"
"2013-11","Cayman Airways Limited (International)","219","144,193","26,530","17,133","65%"
"2013-11","Chartright Air Inc. (International)","60","42,031","499","244","49%"
"2013-11","Chautauqua Airlines Inc. (Atlantic)","60","26,460","3,000","1,661","55%"
"2013-11","Chautauqua Airlines Inc. (Domestic)","11,256","3,722,413","543,630","391,229","72%"
"2013-11","China Airlines Ltd. (International)","976","4,559,109","107,642","78,088","73%"
"2013-11","China Eastern Airlines (International)","218","1,333,258","62,484","52,063","83%"
"2013-11","China Southern Airlines (International)","114","784,050","29,400","23,863","81%"
"2013-11","City Wings Inc dba Seaflight (Domestic)","182","8,190","1,638","1,077","66%"
"2013-11","Comlux Malta, Ltd. (International)","3","11,841","42","8","19%"
"2013-11","Commutair Aka Champlain Enterprises, Inc. (Domestic)","3,887","723,803","155,129","113,432","73%"
"2013-11","Compagnia Aerea Italiana (International)","268","1,170,080","67,484","52,456","78%"
"2013-11","Compagnie Natl Air France (International)","956","3,870,989","279,473","229,974","82%"
"2013-11","Compania Panamena (Copa) (International)","1,273","2,304,155","185,795","134,135","72%"
"2013-11","Compass Airlines (Domestic)","5,354","3,890,523","401,408","294,054","73%"
"2013-11","Concesionaria Vuela Compania De Aviacion SA de CV (Vola","968","1,431,394","153,528","108,423","71%"
"2013-11","Condor Flugdienst (International)","26","131,380","6,988","6,046","87%"
"2013-11","Delta Air Lines Inc. (Atlantic)","2,926","12,707,576","706,841","547,795","77%"
"2013-11","Delta Air Lines Inc. (Domestic)","62,314","53,334,978","9,902,641","7,735,132","78%"
"2013-11","Delta Air Lines Inc. (Latin America)","4,116","7,438,504","650,083","537,412","83%"
"2013-10","40-Mile Air (Domestic)","63","6,634","246","50","20%"
"2013-10","ABC Aerolineas SA de CV dba Interjet (International)","450","551,549","67,500","43,582","65%"
"2013-10","ACM AIR CHARTER GmbH (International)","23","47,647","302","45","15%"
"2013-10","Aer Lingus Plc (International)","416","1,352,312","124,366","99,596","80%"
"2013-10","Aeroenlaces Nacionales, S.A. de C.V. d/b/a VivaAerobus","26","10,686","3,848","3,074","80%"
"2013-10","Aeroflot Russian Airlines (International)","224","1,144,856","66,104","53,171","80%"
"2013-10","Aerolineas Argentinas (International)","122","537,532","34,160","26,512","78%"
"2013-10","Aerolitoral (International)","749","540,800","64,155","41,273","64%"
"2013-10","Aeromexico (International)","1,817","2,841,280","263,002","188,240","72%"
"2013-10","Aerovias de Intergracian Regional (International)","62","93,372","14,766","10,409","70%"
"2013-10","Aerovias Nacl De Colombia (International)","764","1,315,634","114,822","99,796","87%"
"2013-10","Air Alsie A/S (International)","7","18,089","70","17","24%"
"2013-10","Air Berlin PLC and CO (International)","366","1,652,932","108,146","91,152","84%"
"2013-10","Air Canada (International)","3,828","4,921,665","448,426","363,020","81%"
"2013-10","Air China (International)","429","2,450,405","97,514","76,367","78%"
"2013-10","Air Europa (International)","28","100,492","8,372","5,928","71%"
"2013-10","Air Excursions LLC (Domestic)","134","12,303","1,006","353","35%"
"2013-10","Air Georgian (International)","829","209,487","14,886","8,052","54%"
"2013-10","Air Japan Co (International)","62","236,778","13,233","11,703","88%"
"2013-10","Air New Zealand (International)","288","1,735,000","94,048","75,619","80%"
"2013-10","Air Pacific Ltd. (International)","70","296,322","19,202","13,939","73%"
"2013-10","Air Sunshine Inc. (Domestic)","144","9,730","1,296","126","10%"
"2013-10","Air Tahiti Nui (International)","380","1,804,950","34,398","27,702","81%"
"2013-10","AirTran Airways Corporation (Domestic)","13,167","9,259,591","1,585,579","1,298,290","82%"
"2013-10","AirTran Airways Corporation (Latin America)","1,087","1,350,135","148,919","112,548","76%"
"2013-10","Air Wisconsin Airlines Corp (Domestic)","13,960","4,797,104","698,000","520,840","75%"
"2013-10","Alaska Airlines Inc. (Domestic)","13,032","14,803,963","1,897,518","1,503,221","79%"
"2013-10","Alaska Airlines Inc. (Latin America)","784","968,490","125,399","113,476","90%"
"2013-10","Alaska Central Express (Domestic)","1,006","309,308","1,292","616","48%"
"2013-10","Albinati Aeronautics SA (International)","1","6,095","10","7","70%"
"2013-10","Alia-(The) Royal Jordanian (International)","98","590,440","24,714","16,356","66%"
"2013-10","Allegiant Air (Domestic)","3,239","3,031,697","547,374","482,562","88%"
"2013-10","All Nippon Airways Co. (International)","682","3,882,688","152,570","108,810","71%"
"2013-10","American Airlines Inc. (Atlantic)","2,149","8,862,948","488,654","420,866","86%"
"2013-10","American Airlines Inc. (Domestic)","46,192","48,885,569","6,842,527","5,652,567","83%"
"2013-10","American Airlines Inc. (Latin America)","8,056","13,048,502","1,377,124","1,081,881","79%"
"2013-10","American Airlines Inc. (Pacific)","524","3,394,639","128,427","101,877","79%"
"2013-10","Ameristar Air Cargo (Domestic)","127","82,641","4,104","1,849","45%"
"2013-10","Arctic Transportation (Domestic)","1,442","104,800","685","161","24%"
"2013-10","Arik Air International (International)","28","147,000","6,636","4,039","61%"
"2013-10","Asiana Airlines Inc. (International)","746","2,869,547","131,473","104,362","79%"
"2013-10","Atlas Air Inc. (Domestic)","507","768,796","3,553","433","12%"
"2013-10","Atlas Air Inc. (International)","539","2,175,408","15,619","3,787","24%"
"2013-10","Austrian Airlines (International)","166","738,180","41,144","34,867","85%"
"2013-10","Avior Airlines, C.A. (International)","52","77,272","7,776","7,471","96%"
"2013-10","Avjet Corporation (Domestic)","173","150,228","1,799","490","27%"
"2013-10","Bahamasair Holding Limited (International)","550","103,336","50,250","32,792","65%"
"2013-10","Bering Air Inc. (Domestic)","2,488","211,189","22,206","8,355","38%"
"2013-10","Britannia Airways Ltd. (International)","85","360,381","23,315","20,917","90%"
"2013-10","British Airways Plc (International)","2,662","10,945,472","711,010","610,997","86%"
"2013-10","Brussels Airlines N.V. (International)","103","387,151","28,624","19,648","69%"
"2013-10","Canjet Airlines (International)","36","41,936","6,804","6,331","93%"
"2013-10","Cape Air (Domestic)","10,386","970,126","104,457","57,635","55%"
"2013-10","Caribbean Airlines Limited (International)","586","923,245","91,316","71,824","79%"
"2013-10","Caribbean Sun Airlines, Inc. d/b/a World Atlantic Airli","297","180,812","46,035","22,973","50%"
"2013-10","CAT Aviation (International)","7","25,074","95","11","12%"
"2013-10","Cathay Pacific Airways Ltd. (International)","1,236","6,597,806","180,792","154,080","85%"
"2013-10","Cayman Airways Limited (International)","192","111,426","23,276","14,830","64%"
"2013-10","Chartright Air Inc. (International)","54","28,750","434","238","55%"
"2013-10","Chautauqua Airlines Inc. (Atlantic)","120","52,920","6,000","3,583","60%"
"2013-10","Chautauqua Airlines Inc. (Domestic)","12,233","4,092,772","590,644","447,888","76%"
"2013-10","China Airlines Ltd. (International)","913","4,300,240","109,226","82,273","75%"
"2013-10","China Eastern Airlines (International)","224","1,378,252","64,212","53,738","84%"
"2013-10","China Southern Airlines (International)","114","785,542","30,380","26,768","88%"
"2013-10","City Wings Inc dba Seaflight (Domestic)","150","6,750","1,350","900","67%"
"2013-10","Comlux Malta, Ltd. (International)","4","16,802","66","40","61%"
"2013-10","Commutair Aka Champlain Enterprises, Inc. (Domestic)","4,055","746,612","164,790","127,071","77%"
"2013-10","Compagnia Aerea Italiana (International)","388","1,754,016","96,606","79,797","83%"
"2013-10","Compagnie Natl Air France (International)","1,178","4,836,615","347,368","305,276","88%"
"2013-10","Compania Panamena (Copa) (International)","1,297","2,351,797","189,666","133,933","71%"
"2013-10","Compass Airlines (Domestic)","5,794","4,254,281","434,543","330,803","76%"
"2013-10","Concesionaria Vuela Compania De Aviacion SA de CV (Vola","936","1,394,249","146,136","104,093","71%"
"2013-10","Condor Flugdienst (International)","48","254,778","12,940","10,629","82%"
"2013-10","DCA (International)","11","38,630","176","35","20%"
"2013-10","Delta Air Lines Inc. (Atlantic)","3,698","15,951,887","905,921","777,897","86%"
"2013-10","Delta Air Lines Inc. (Domestic)","66,375","56,581,251","10,568,715","8,571,997","81%"
"2013-10","Delta Air Lines Inc. (Latin America)","3,804","7,092,004","599,934","482,832","80%"
"2013-09","40-Mile Air (Domestic)","64","6,427","256","90","35%"
"2013-09","ABC Aerolineas SA de CV dba Interjet (International)","442","541,392","66,300","48,052","72%"
"2013-09","ACM AIR CHARTER GmbH (International)","2","8,561","28","5","18%"
"2013-09","Aer Lingus Plc (International)","409","1,326,905","122,151","108,207","89%"
"2013-09","Aeroenlaces Nacionales, S.A. de C.V. d/b/a VivaAerobus","26","10,686","3,848","2,826","73%"
"2013-09","Aeroflot Russian Airlines (International)","216","1,103,300","64,732","51,762","80%"
"2013-09","Aerolineas Argentinas (International)","112","493,472","31,360","24,987","80%"
"2013-09","Aerolitoral (International)","717","517,513","61,085","36,053","59%"
"2013-09","Aeromexico (International)","1,771","2,771,487","252,508","167,843","66%"
