"Year...Month","Carrier","Departures","Miles","Seats","Passengers","Seat.Utilization"
"2018-07","Alaska Central Express (Domestic)","1,303","411,278","2,048","1,045","51%"
"2018-07","Albinati aviation Limited (International)","2","8,080","26","10","38%"
"2018-07","Alia-(The) Royal Jordanian (International)","147","880,747","37,895","33,025","87%"
"2018-07","Allegiant Air (Domestic)","10,234","8,767,775","1,737,270","1,531,042","88%"
"2018-07","All Nippon Airways Co. (International)","868","4,873,076","206,510","167,249","81%"
"2018-07","American Airlines Inc. (Atlantic)","4,027","16,699,161","1,003,085","843,017","84%"
"2018-07","American Airlines Inc. (Domestic)","79,952","84,397,251","12,635,112","11,021,640","87%"
"2018-07","American Airlines Inc. (Latin America)","12,696","18,157,254","2,095,616","1,794,935","86%"
"2018-07","American Airlines Inc. (Pacific)","926","6,200,878","249,458","203,606","82%"
"2018-07","Ameristar Air Cargo (Domestic)","50","40,414","420","107","25%"
"2018-07","Ameristar Air Cargo (International)","16","12,157","120","80","67%"
"2018-07","Arctic Transportation (Domestic)","1,396","120,844","2,219","322","15%"
"2018-07","Asiana Airlines Inc. (International)","31","185,845","15,275","13,776","90%"
"2018-07","Atlas Air Inc. (Domestic)","1,589","1,877,129","4,613","178","4%"
"2018-07","Atlas Air Inc. (International)","957","2,947,556","1,028","110","11%"
"2018-07","Austrian Airlines (International)","318","1,523,472","78,336","66,128","84%"
"2018-07","Avior Airlines, C.A. (International)","64","95,104","14,100","10,945","78%"
"2018-07","Avjet Corporation (Domestic)","100","124,814","1,051","339","32%"
"2018-07","Azerbaijan Airlines CJSC (International)","18","104,958","3,780","3,429","91%"
"2018-07","Azul Linhas Aereas Brazileiras S A (International)","274","1,068,608","67,686","62,946","93%"
"2018-07","Bahamasair Holding Limited (International)","870","186,386","87,550","67,876","78%"
"2018-07","Beijing Capital Airlines (International)","18","34,452","4,438","3,931","89%"
"2018-07","Bemidji Airlines (Domestic)","49","7,761","10","0","0%"
"2018-07","Bering Air Inc. (Domestic)","2,617","234,110","22,943","8,535","37%"
"2018-07","Blue Jet SP Z o o (International)","4","19,160","56","14","25%"
"2018-07","Boutique Air (Domestic)","2,794","640,158","22,352","15,117","68%"
"2018-07","Bradley Air Services Ltd. (International)","7","6,768","1,092","250","23%"
"2018-07","Britannia Airways Ltd. (International)","88","370,737","27,300","25,666","94%"
"2018-07","British Airways Plc (International)","2,911","12,324,858","844,302","725,093","86%"
"2018-07","Brussels Airlines N.V. (International)","122","460,874","33,447","27,899","83%"
"2018-07","Cape Air (Domestic)","10,074","1,023,232","89,046","53,833","60%"
"2018-07","Caribbean Airlines Limited (International)","687","1,146,863","103,050","80,055","78%"
"2018-07","Caribbean Sun Airlines, Inc. d/b/a World Atlantic Airli","164","114,117","25,420","0","0%"
"2018-07","Caribbean Sun Airlines, Inc. d/b/a World Atlantic Airli","252","225,574","39,060","19,631","50%"
"2018-07","CAT Aviation (International)","5","22,564","65","22","34%"
"2018-07","Cathay Pacific Airways Ltd. (International)","1,496","8,202,773","233,775","205,913","88%"
"2018-07","Cayman Airways Limited (International)","236","174,381","31,472","20,471","65%"
"2018-07","CFM Inc d/b/a Contour Airlines (Domestic)","677","264,520","12,446","7,426","60%"
"2018-07","Chartright Air Inc. (International)","126","78,923","793","370","47%"
"2018-07","China Airlines Ltd. (International)","1,039","4,901,179","91,882","74,896","82%"
"2018-07","China Eastern Airlines (International)","486","3,068,598","146,832","122,413","83%"
"2018-07","China Southern Airlines (International)","470","3,398,254","101,946","87,624","86%"
"2018-07","City Wings Inc dba Seaflight (Domestic)","274","12,330","2,466","2,023","82%"
"2018-07","Comlux Aruba NV (International)","6","35,432","528","83","16%"
"2018-07","Commutair Aka Champlain Enterprises, Inc. (Domestic)","4,166","1,295,547","208,300","173,706","83%"
"2018-07","Compagnia Aerea Italiana (International)","495","2,310,034","135,425","122,600","91%"
"2018-06","40-Mile Air (Domestic)","71","6,274","284","81","29%"
"2018-06","ABC Aerolineas SA de CV dba Interjet (International)","1,595","2,174,149","236,304","175,998","74%"
"2018-06","ABS JETS A.S (International)","4","10,988","60","16","27%"
"2018-06","ACM AIR CHARTER GmbH (International)","5","8,547","70","15","21%"
"2018-06","Acropolis Aviation Ltd. (International)","2","8,823","38","10","26%"
"2018-06","Aer Lingus Plc (International)","874","3,149,938","238,438","223,902","94%"
"2018-06","Aerodynamics Inc. d/b/a SkyValue d/b/a SkyValue Airways","213","64,647","10,650","6,714","63%"
"2018-06","Aeroenlaces Nacionales, S.A. de C.V. d/b/a VivaAerobus","202","257,685","36,360","30,066","83%"
"2018-06","Aeroflot Russian Airlines (International)","322","1,627,496","113,172","95,896","85%"
"2018-06","Aerolineas Argentinas (International)","178","836,828","48,294","37,346","77%"
"2018-06","Aerolitoral (International)","985","1,134,421","97,007","69,472","72%"
"2018-06","Aeromexico (International)","2,082","3,515,471","340,232","273,464","80%"
"2018-06","Aerovias de Intergracian Regional (International)","59","88,854","10,242","8,645","84%"
"2018-06","Aerovias Nacl De Colombia (International)","952","1,759,512","166,902","143,640","86%"
"2018-06","Air Alsie A/S (International)","14","64,814","188","28","15%"
"2018-06","Air Asia X Berhad dba Airasia X (International)","36","148,212","13,572","11,827","87%"
"2018-06","Air Busan (International)","42","75,264","8,124","7,125","88%"
"2018-06","Air Canada (International)","3,874","5,053,221","566,500","480,513","85%"
"2018-06","Air Canada rouge LP (International)","1,398","2,047,246","262,780","215,081","82%"
"2018-06","Air Charter, Inc d/b/a Air Flamenco (Domestic)","304","15,699","999","531","53%"
"2018-06","Air China (International)","738","4,383,595","182,372","140,988","77%"
"2018-06","Air Europa (International)","128","512,532","38,092","31,162","82%"
"2018-06","Air Excursions LLC (Domestic)","340","15,416","2,566","1,291","50%"
"2018-06","Air Georgian (International)","3,315","1,324,008","143,894","116,772","81%"
"2018-06","Air Japan Co (International)","60","229,140","14,754","13,337","90%"
"2018-06","Air New Zealand (International)","364","2,211,306","117,978","92,928","79%"
"2018-06","Air Pacific Ltd. (International)","109","518,560","27,004","21,188","78%"
"2018-06","Air Serbia (International)","44","198,484","13,080","9,415","72%"
"2018-06","Air Sunshine Inc. (Domestic)","240","27,240","2,160","1,019","47%"
"2018-06","Air Tahiti Nui (International)","146","676,620","43,216","35,960","83%"
"2018-06","Air Transat (International)","45","57,018","8,440","6,835","81%"
"2018-06","Air Wisconsin Airlines Corp (Domestic)","8,316","3,046,999","415,800","339,747","82%"
"2018-06","Alaska Airlines Inc. (Domestic)","23,750","30,890,160","3,702,608","3,155,077","85%"
"2018-06","Alaska Airlines Inc. (Latin America)","1,140","1,513,564","186,030","165,937","89%"
"2018-06","Alaska Central Express (Domestic)","1,456","481,167","2,592","1,509","58%"
"2018-06","Albinati Aeronautics SA (International)","6","14,350","69","27","39%"
"2018-06","Alia-(The) Royal Jordanian (International)","134","765,741","34,980","26,980","77%"
"2018-06","Allegiant Air (Domestic)","10,041","8,449,550","1,697,138","1,409,044","83%"
"2018-06","All Nippon Airways Co. (International)","840","4,715,880","198,240","165,349","83%"
"2018-06","American Airlines Inc. (Atlantic)","3,910","16,206,630","968,932","827,717","85%"
"2018-06","American Airlines Inc. (Domestic)","78,016","81,773,651","12,300,266","10,763,517","88%"
"2018-06","American Airlines Inc. (Latin America)","12,120","17,348,729","1,998,360","1,647,118","82%"
"2018-06","American Airlines Inc. (Pacific)","892","5,971,666","240,663","209,747","87%"
"2018-06","Ameristar Air Cargo (Domestic)","111","70,338","1,980","777","39%"
"2018-06","Arctic Transportation (Domestic)","1,552","123,620","2,192","352","16%"
"2018-06","Asiana Airlines Inc. (International)","944","3,954,924","170,352","151,448","89%"
"2018-06","Atlas Air Inc. (Domestic)","1,617","1,939,394","1,082","419","39%"
"2018-06","Austrian Airlines (International)","290","1,330,612","65,225","50,961","78%"
"2018-06","Avior Airlines, C.A. (International)","59","87,674","14,379","8,657","60%"
"2018-06","Avjet Corporation (Domestic)","100","124,814","1,052","324","31%"
"2018-06","Azerbaijan Airlines CJSC (International)","18","104,958","3,780","2,847","75%"
"2018-06","Azul Linhas Aereas Brazileiras S A (International)","265","1,034,983","66,725","57,634","86%"
"2018-06","Bahamasair Holding Limited (International)","774","159,426","75,880","48,846","64%"
"2018-06","Beijing Capital Airlines (International)","16","30,624","4,016","3,990","99%"
"2018-06","Bemidji Airlines (Domestic)","52","8,159","10","0","0%"
"2018-06","Bering Air Inc. (Domestic)","1,921","177,743","16,909","6,409","38%"
"2018-06","Blue Jet SP Z o o (International)","6","17,337","56","15","27%"
"2018-06","Boutique Air (Domestic)","2,842","641,088","22,736","15,565","68%"
"2018-06","Britannia Airways Ltd. (International)","88","371,909","27,480","23,934","87%"
"2018-06","British Airways Plc (International)","2,726","11,462,509","791,411","714,412","90%"
